country_region,date_bin,confirmed,new_confirmed
Ecuador,2020-04-06,3747,805.2857142857142
Egypt,2020-02-10,7,0
Egypt,2020-02-17,7,0
Egypt,2020-02-24,5,-2
Egypt,2020-03-02,27.333333333333332,22.333333333333332
Egypt,2020-03-09,90,62.66666666666667
Egypt,2020-03-16,243.42857142857142,153.42857142857142
Egypt,2020-03-23,491.42857142857144,248.00000000000003
Egypt,2020-03-30,891.1428571428571,399.71428571428567
Egypt,2020-04-06,1386,494.8571428571429
El Salvador,2020-03-16,2.6666666666666665,0
El Salvador,2020-03-23,12.285714285714286,9.61904761904762
El Salvador,2020-03-30,42.714285714285715,30.42857142857143
El Salvador,2020-04-06,73.5,30.785714285714285
Equatorial Guinea,2020-03-09,3,0
Equatorial Guinea,2020-03-16,9.333333333333334,6.333333333333334
Equatorial Guinea,2020-03-23,10.714285714285714,1.3809523809523796
Equatorial Guinea,2020-03-30,14.571428571428571,3.8571428571428577
Equatorial Guinea,2020-04-06,16,1.4285714285714288
Eritrea,2020-03-16,1,0
Eritrea,2020-03-23,5.142857142857143,4.142857142857143
Eritrea,2020-03-30,20.571428571428573,15.42857142857143
Eritrea,2020-04-06,31,10.428571428571427
Estonia,2020-02-24,5,0
Estonia,2020-03-02,15.666666666666666,10.666666666666666
Estonia,2020-03-09,102.25,86.58333333333333
Estonia,2020-03-16,267.14285714285717,164.89285714285717
Estonia,2020-03-23,508.85714285714283,241.71428571428567
Estonia,2020-03-30,884.8571428571429,376.00000000000006
Estonia,2020-04-06,1128.5,243.6428571428571
Eswatini,2020-03-09,4,0
Eswatini,2020-03-16,4,0
Eswatini,2020-03-23,6.428571428571429,2.428571428571429
Eswatini,2020-03-30,9,2.571428571428571
Eswatini,2020-04-06,10,1
Ethiopia,2020-03-09,1.5,0
Ethiopia,2020-03-16,12.75,11.25
Ethiopia,2020-03-23,14.285714285714286,1.5357142857142865
Ethiopia,2020-03-30,31.857142857142858,17.57142857142857
Ethiopia,2020-04-06,48,16.142857142857142
Faroe Islands,2020-03-02,5,0
Fiji,2020-03-16,2.5,0
Fiji,2020-03-23,4.571428571428571,2.071428571428571
Fiji,2020-03-30,7.571428571428571,3
Fiji,2020-04-06,14.5,6.928571428571429
Finland,2020-01-27,4.666666666666667,0
Finland,2020-02-10,14,9.333333333333332
Finland,2020-02-24,11,-3
Finland,2020-03-02,21.666666666666668,10.666666666666668
Finland,2020-03-09,162.4,140.73333333333335
Finland,2020-03-16,419,256.6
Finland,2020-03-23,968.2857142857143,549.2857142857143
Finland,2020-03-30,1594,625.7142857142857
Finland,2020-04-06,2242,648
France,2020-01-20,2.6666666666666665,0
France,2020-01-27,10.666666666666666,8
France,2020-02-03,44,33.333333333333336
France,2020-02-10,76.5,32.5
France,2020-02-24,59.5,-17
France,2020-03-02,540.7142857142857,481.21428571428567
France,2020-03-09,4046.8,3506.0857142857144
France,2020-03-16,11058.857142857143,7012.057142857143
France,2020-03-23,30015.85714285714,18957
France,2020-03-30,66499.71428571429,36483.857142857145
France,2020-04-06,104514,38014.28571428571
French Guiana,2020-03-02,35,0
French Guiana,2020-03-09,5,-30
French Guiana,2020-03-16,25.666666666666668,20.666666666666668
Gabon,2020-03-09,6,0
Gabon,2020-03-16,4,-2
Gabon,2020-03-23,6.428571428571429,2.428571428571429
Gabon,2020-03-30,17.857142857142858,11.428571428571429
Gabon,2020-04-06,27,9.142857142857142
Gambia,2020-03-16,1,0
Gambia,2020-03-23,3,2
Gambia,2020-03-30,4,1
Gambia,2020-04-06,4,0
"Gambia, The",2020-03-16,4,0
Georgia,2020-02-24,5.333333333333333,0
Georgia,2020-03-02,12.5,7.166666666666667
Georgia,2020-03-09,55.333333333333336,42.833333333333336
Georgia,2020-03-16,41.57142857142857,-13.761904761904766
Georgia,2020-03-23,78.42857142857143,36.85714285714286
Georgia,2020-03-30,136.42857142857142,57.999999999999986
Georgia,2020-04-06,192,55.571428571428584
Germany,2020-01-27,5.833333333333333,0
Germany,2020-02-03,34,28.166666666666668
Germany,2020-02-10,56,22
Germany,2020-02-17,56,0
Germany,2020-02-24,57.833333333333336,1.8333333333333357
Germany,2020-03-02,515.4285714285714,457.59523809523813
Germany,2020-03-09,3445.6666666666665,2930.238095238095
Germany,2020-03-16,15872.857142857143,12427.190476190477
Germany,2020-03-23,44852,28979.142857142855
