isActive,isRookie,namePlayer,idPlayer,countSeasons,yearSeasonFirst,yearSeasonLast,idTeam,hasGamesPlayedFlag,urlPlayerStats,urlPlayerThumbnail,urlPlayerHeadshot,urlPlayerActionPhoto,hasHeadShot,hasThumbnail,hasAction,urlPlayerPhoto
FALSE,FALSE,Wally Rank,77910,0,1980,1980,NA,FALSE,https://stats.nba.com/player/77910,https://stats.nba.com/media/players/230x185/77910.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/77910.png,https://stats.nba.com/media/players/700/77910.png,FALSE,TRUE,TRUE,https://stats.nba.com/media/players/230x185/77910.png
FALSE,FALSE,Kelvin Ransey,77911,5,1980,1985,NA,FALSE,https://stats.nba.com/player/77911,https://stats.nba.com/media/players/230x185/77911.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/77911.png,https://stats.nba.com/media/players/700/77911.png,FALSE,TRUE,TRUE,https://stats.nba.com/media/players/230x185/77911.png
FALSE,FALSE,Sam Ranzino,77912,0,1951,1951,NA,FALSE,https://stats.nba.com/player/77912,https://stats.nba.com/media/players/230x185/77912.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/77912.png,https://stats.nba.com/media/players/700/77912.png,FALSE,TRUE,TRUE,https://stats.nba.com/media/players/230x185/77912.png
FALSE,FALSE,Blair Rasmussen,78656,7,1985,1992,NA,FALSE,https://stats.nba.com/player/78656,https://stats.nba.com/media/players/230x185/78656.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/78656.png,https://stats.nba.com/media/players/700/78656.png,FALSE,TRUE,TRUE,https://stats.nba.com/media/players/230x185/78656.png
FALSE,FALSE,Xavier Rathan-Mayes,1628504,0,2017,2017,NA,FALSE,https://stats.nba.com/player/1628504,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628504.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628504.png,https://stats.nba.com/media/players/700/1628504.png,TRUE,TRUE,FALSE,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628504.png
FALSE,FALSE,George Ratkovicz,77913,5,1949,1954,NA,FALSE,https://stats.nba.com/player/77913,https://stats.nba.com/media/players/230x185/77913.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/77913.png,https://stats.nba.com/media/players/700/77913.png,FALSE,TRUE,TRUE,https://stats.nba.com/media/players/230x185/77913.png
FALSE,FALSE,Ed Ratleff,77914,4,1973,1977,NA,FALSE,https://stats.nba.com/player/77914,https://stats.nba.com/media/players/230x185/77914.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/77914.png,https://stats.nba.com/media/players/700/77914.png,FALSE,TRUE,TRUE,https://stats.nba.com/media/players/230x185/77914.png
FALSE,FALSE,Mike Ratliff,77915,1,1972,1973,NA,FALSE,https://stats.nba.com/player/77915,https://stats.nba.com/media/players/230x185/77915.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/77915.png,https://stats.nba.com/media/players/700/77915.png,FALSE,TRUE,TRUE,https://stats.nba.com/media/players/230x185/77915.png
FALSE,FALSE,Theo Ratliff,689,15,1995,2010,NA,FALSE,https://stats.nba.com/player/689,https://stats.nba.com/media/players/230x185/689.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/689.png,https://stats.nba.com/media/players/700/689.png,TRUE,TRUE,TRUE,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/689.png
FALSE,FALSE,Andy Rautins,202360,0,2010,2010,NA,FALSE,https://stats.nba.com/player/202360,https://stats.nba.com/media/players/230x185/202360.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202360.png,https://stats.nba.com/media/players/700/202360.png,TRUE,TRUE,TRUE,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202360.png
