location,type,overall
Taco Villa,Chicken,3
Lupe's Taco Shop,Hot cheetos,3.7
Lupe's Taco Shop,Surfin California,4.25
Lupe's Taco Shop,California,3.9
Lupe's Taco Shop,Spicy a la Diabla,2
Los Tacos,Local,4.2
Los Tacos,Local,4.2
Taco Villa,Pollo asado,3.1
Taco Villa,Al pastor,3
Rigoberto's Taco Shop La Jolla,California,3.6
Rigoberto's Taco Shop La Jolla,California,4.3
Taco Villa,California,4
Cotixan,California,3.5
Los Tacos,Local,4.1
Los Tacos,Local,4
Los Tacos,Local,5
Los Tacos,Local,4
Lourdes,Carnitas,3.75
Lourdes,California,3.1
Vallarta Express,California,4.1
California burritos,California everything,4.1
California burritos,California everything,4
California burritos,California everything mini,4.5
California burritos,Surf & Turf,3.5
California burritos,California everything,4
California burritos,Surf & Turf,4.5
Los palmitos,California,4.3
Los palmitos,Surf & Turf,3.6
Taco Villa,Carnitas,4
Taco Villa,Carnitas,3.5
Lupe's Taco Shop,TGunz,3.9
Lupe's Taco Shop,TGunz,3.5
Filiberto's,Adobada,3.7
Filiberto's,California,4
Don Carlos Taco Shop,California,3.7
Don Carlos Taco Shop,California,2.9
Los Tacos 2,Al pastor tradicional,3.6
Rubios UCSD,Grilled fish salmon,3.4
Rigoberto's Taco Shop,California,3.9
Rigoberto's Taco Shop,California,4
El Dorado Mexican Food,California,4
El Dorado Mexican Food,California,3.8
Los Tacos 2,Cheese steak,2.8
Roberto's Taco Shop Hillcrest,Asada,2.8
Roberto's Taco Shop Hillcrest,California Surf and Turf,4
Roberto's Taco Shop Hillcrest,California,2.2
Burros and Fries,Shrimp california,3
Burros and Fries,California,3.8
Taco Stand Encinitas,California,4.7
Taco Stand Encinitas,California,4.5
Cotixan,California,3.7
Vallarta Express,Surf & Turf,3
Vallarta Express,California,3.5
Caliente Mexican Food,carne asada,3.5
Caliente Mexican Food,carne asada,4
Caliente Mexican Food,fried fish,3.5
Caliente Mexican Food,California,2
Burrito Factory,Steak everything,3.5
Taco Villa,Carne asada,2
Taco VIlla,California,3.7
Los Tacos 2,Local,4
Los Tacos 2,Local,4
Valentines Mexican Food,Carne asada,3.9
Valentines Mexican Food,California,4.8
Vallarta Express,California,4.1
Lalo's Tacos,California,2.8
